                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2553,                 1.5171,                 1.2535,                 0.9162,                0.91796,                0.92038,                0.56661,                 1.3366,                0.88947,                 1.2622,              0.0033327,              0.0033327,              0.0033327
                      2,                 1.2543,                0.88545,                 1.2471,                0.96309,                0.91276,                 0.9565,                0.56969,                 1.3619,                0.70257,                 1.3132,               0.006534,               0.006534,               0.006534
                      3,                  1.308,                0.86404,                 1.3001,                0.96271,                 0.8879,                 0.9469,                 0.5903,                 1.3536,                0.68628,                 1.3106,              0.0096034,              0.0096034,              0.0096034
                      4,                 1.3118,                0.83314,                 1.3257,                0.95017,                0.91041,                 0.9554,                0.56546,                 1.4421,                0.66409,                 1.3653,               0.009406,               0.009406,               0.009406
                      5,                 1.2758,                0.78546,                 1.3087,                0.94525,                0.91504,                0.95673,                0.60138,                 1.3427,                0.62224,                  1.285,               0.009406,               0.009406,               0.009406
                      6,                 1.2514,                0.74127,                 1.2883,                0.95283,                0.92851,                0.95925,                0.60878,                 1.3101,                0.59712,                  1.275,               0.009208,               0.009208,               0.009208
                      7,                  1.232,                0.71398,                 1.2763,                0.95609,                0.93715,                0.96898,                0.62128,                 1.2751,                0.55293,                 1.2751,                0.00901,                0.00901,                0.00901
                      8,                 1.2203,                0.69365,                 1.2667,                 0.9642,                0.93485,                0.96831,                0.61674,                 1.3226,                0.56017,                 1.2757,               0.008812,               0.008812,               0.008812
                      9,                 1.2018,                0.67115,                 1.2555,                0.94917,                0.93716,                0.95855,                0.62642,                 1.2838,                0.53697,                 1.2458,               0.008614,               0.008614,               0.008614
                     10,                 1.1854,                0.64996,                 1.2429,                0.96541,                0.93902,                0.96928,                 0.6398,                 1.2622,                0.51677,                   1.23,               0.008416,               0.008416,               0.008416
                     11,                 1.1781,                0.64616,                 1.2376,                  0.969,                0.93902,                0.97173,                0.64921,                 1.2334,                 0.5137,                 1.2214,               0.008218,               0.008218,               0.008218
                     12,                 1.1698,                0.63041,                 1.2304,                0.96856,                0.94559,                0.97326,                0.65094,                  1.228,                0.48517,                 1.2228,                0.00802,                0.00802,                0.00802
                     13,                 1.1583,                0.61441,                 1.2248,                0.97111,                0.94614,                0.97468,                0.65103,                 1.2225,                 0.4878,                 1.2108,               0.007822,               0.007822,               0.007822
                     14,                 1.1526,                0.61305,                 1.2195,                0.97149,                0.94286,                0.97242,                0.64743,                 1.2333,                0.46927,                 1.2267,               0.007624,               0.007624,               0.007624
                     15,                 1.1416,                0.60136,                 1.2098,                0.96835,                0.95403,                 0.9766,                0.66447,                 1.1948,                0.46426,                 1.1985,               0.007426,               0.007426,               0.007426
                     16,                 1.1396,                0.59707,                 1.2096,                0.97246,                0.94184,                0.97679,                 0.6652,                 1.1913,                0.45778,                 1.1921,               0.007228,               0.007228,               0.007228
                     17,                 1.1318,                0.59072,                 1.2032,                0.96893,                0.95069,                0.97583,                0.66469,                 1.1903,                0.46422,                 1.1961,                0.00703,                0.00703,                0.00703
                     18,                 1.1322,                0.58568,                 1.2043,                0.97085,                0.95286,                 0.9772,                0.66546,                 1.1925,                0.45302,                 1.1928,               0.006832,               0.006832,               0.006832
                     19,                 1.1225,                0.57925,                  1.204,                0.96326,                0.95922,                0.98017,                0.67612,                 1.1677,                0.44685,                 1.1828,               0.006634,               0.006634,               0.006634
                     20,                 1.1146,                0.56469,                 1.1963,                0.97505,                0.94934,                0.97969,                0.67904,                 1.1579,                 0.4385,                 1.1753,               0.006436,               0.006436,               0.006436
                     21,                  1.108,                0.56335,                 1.1894,                  0.982,                0.94704,                0.97994,                0.68141,                 1.1541,                0.43417,                 1.1731,               0.006238,               0.006238,               0.006238
                     22,                  1.101,                0.55213,                 1.1854,                0.97601,                0.96107,                0.98166,                0.68147,                  1.152,                0.42547,                 1.1714,                0.00604,                0.00604,                0.00604
                     23,                 1.0988,                0.54834,                 1.1856,                0.97983,                 0.9568,                0.98094,                 0.6833,                 1.1497,                0.42811,                 1.1732,               0.005842,               0.005842,               0.005842
                     24,                 1.0941,                0.54818,                  1.181,                0.97798,                0.96013,                0.98128,                0.68583,                 1.1431,                0.42153,                 1.1634,               0.005644,               0.005644,               0.005644
                     25,                 1.0903,                0.53625,                 1.1731,                0.98218,                 0.9566,                0.98063,                0.68955,                 1.1361,                0.41598,                 1.1601,               0.005446,               0.005446,               0.005446
                     26,                 1.0828,                0.53249,                 1.1755,                0.97957,                0.95779,                0.98222,                0.68664,                 1.1448,                 0.4149,                 1.1654,               0.005248,               0.005248,               0.005248
                     27,                  1.078,                0.53271,                  1.173,                0.98081,                0.95876,                0.98113,                0.68945,                 1.1348,                0.41348,                  1.158,                0.00505,                0.00505,                0.00505
                     28,                 1.0768,                0.53122,                 1.1737,                0.97625,                 0.9606,                0.98108,                0.69139,                 1.1347,                0.41124,                 1.1567,               0.004852,               0.004852,               0.004852
                     29,                 1.0655,                 0.5204,                 1.1666,                 0.9788,                 0.9606,                 0.9853,                0.69107,                 1.1357,                 0.4092,                 1.1587,               0.004654,               0.004654,               0.004654
                     30,                 1.0639,                0.51535,                 1.1686,                0.97985,                0.95796,                0.98493,                0.69205,                 1.1312,                 0.4074,                 1.1554,               0.004456,               0.004456,               0.004456
                     31,                 1.0563,                0.50978,                 1.1573,                0.98055,                0.95966,                0.98394,                0.69366,                  1.128,                0.40386,                 1.1538,               0.004258,               0.004258,               0.004258
                     32,                 1.0541,                0.50729,                 1.1556,                0.98223,                0.95954,                0.98449,                0.69425,                 1.1272,                0.39979,                 1.1539,                0.00406,                0.00406,                0.00406
                     33,                 1.0529,                0.50216,                 1.1576,                0.98272,                0.96053,                0.98482,                0.69445,                 1.1252,                 0.3997,                 1.1531,               0.003862,               0.003862,               0.003862
                     34,                 1.0449,                0.49364,                 1.1513,                0.98508,                0.95993,                0.98546,                0.69459,                 1.1207,                0.39891,                 1.1507,               0.003664,               0.003664,               0.003664
                     35,                 1.0414,                0.49414,                 1.1508,                 0.9838,                0.95826,                0.98506,                 0.6953,                  1.118,                0.39588,                 1.1491,               0.003466,               0.003466,               0.003466
                     36,                 1.0351,                0.48587,                 1.1466,                0.98316,                0.95966,                0.98553,                0.69534,                 1.1184,                0.39533,                 1.1488,               0.003268,               0.003268,               0.003268
                     37,                 1.0276,                0.48073,                 1.1414,                0.98181,                0.96192,                0.98586,                0.69571,                 1.1191,                0.39339,                 1.1486,                0.00307,                0.00307,                0.00307
                     38,                 1.0207,                0.47531,                 1.1365,                0.98168,                0.96295,                0.98437,                0.69784,                 1.1178,                 0.3923,                 1.1478,               0.002872,               0.002872,               0.002872
                     39,                 1.0166,                0.47291,                 1.1345,                 0.9833,                0.96154,                0.98611,                0.69848,                 1.1158,                0.39223,                 1.1467,               0.002674,               0.002674,               0.002674
                     40,                 1.0106,                0.46995,                 1.1347,                0.98228,                0.96179,                 0.9855,                0.69974,                 1.1154,                0.39184,                 1.1459,               0.002476,               0.002476,               0.002476
